row_id,y_true,y_pred,pred_conf,true_conf,correct,p_0,p_1,p_2,p_3,p_4
224,0,2,0.3,0.18,False,0.18,0.18,0.3,0.25,0.09
225,0,3,0.3,0.27,False,0.27,0.16,0.2,0.3,0.07
312,0,2,0.36,0.21,False,0.21,0.25,0.36,0.17,0.01
354,0,2,0.44,0.16,False,0.16,0.11,0.44,0.16,0.13
482,1,2,0.6,0.3,False,0.0,0.3,0.6,0.01,0.09
569,1,3,0.44,0.31,False,0.02,0.31,0.14,0.44,0.09
570,1,4,0.43,0.31,False,0.0,0.31,0.06,0.2,0.43
571,1,4,0.47,0.38,False,0.01,0.38,0.07,0.07,0.47
573,1,4,0.5,0.31,False,0.01,0.31,0.08,0.1,0.5
574,1,4,0.92,0.06,False,0.0,0.06,0.01,0.01,0.92
575,1,4,0.86,0.14,False,0.0,0.14,0.0,0.0,0.86
601,1,0,0.72,0.17,False,0.72,0.17,0.05,0.06,0.0
633,1,0,0.58,0.31,False,0.58,0.31,0.07,0.04,0.0
654,1,3,0.25,0.21,False,0.14,0.21,0.17,0.25,0.23
676,1,3,0.52,0.24,False,0.03,0.24,0.13,0.52,0.08
677,1,4,0.34,0.32,False,0.01,0.32,0.07,0.26,0.34
678,1,3,0.32,0.26,False,0.01,0.26,0.11,0.32,0.3
706,1,2,0.37,0.3,False,0.02,0.3,0.37,0.22,0.09
740,1,2,0.55,0.12,False,0.05,0.12,0.55,0.27,0.01
741,1,2,0.7,0.03,False,0.02,0.03,0.7,0.16,0.09
753,1,3,0.58,0.17,False,0.04,0.17,0.11,0.58,0.1
792,1,3,0.5,0.2,False,0.02,0.2,0.16,0.5,0.12
804,1,3,0.53,0.45,False,0.0,0.45,0.02,0.53,0.0
815,1,4,0.66,0.22,False,0.0,0.22,0.09,0.03,0.66
864,1,3,0.54,0.24,False,0.0,0.24,0.12,0.54,0.1
874,1,3,0.58,0.32,False,0.0,0.32,0.03,0.58,0.07
885,1,3,0.31,0.27,False,0.11,0.27,0.13,0.31,0.18
889,1,4,0.59,0.24,False,0.02,0.24,0.12,0.03,0.59
890,1,2,0.67,0.09,False,0.0,0.09,0.67,0.11,0.13
1017,2,1,0.46,0.29,False,0.08,0.46,0.29,0.09,0.08
1085,2,1,0.33,0.23,False,0.0,0.33,0.23,0.17,0.27
1124,2,3,0.33,0.31,False,0.06,0.25,0.31,0.33,0.05
1165,2,3,0.32,0.3,False,0.05,0.25,0.3,0.32,0.08
1210,2,3,0.58,0.31,False,0.03,0.05,0.31,0.58,0.03
1355,3,2,0.44,0.32,False,0.02,0.17,0.44,0.32,0.05
1415,3,2,0.47,0.26,False,0.06,0.09,0.47,0.26,0.12
1418,3,2,0.39,0.25,False,0.02,0.16,0.39,0.25,0.18
1501,3,2,0.34,0.25,False,0.04,0.3,0.34,0.25,0.07
1504,3,2,0.47,0.12,False,0.02,0.29,0.47,0.12,0.1
1507,3,1,0.45,0.23,False,0.03,0.45,0.01,0.23,0.28
1508,3,1,0.62,0.07,False,0.0,0.62,0.12,0.07,0.19
1605,3,4,0.45,0.37,False,0.0,0.18,0.0,0.37,0.45
1606,3,4,0.45,0.34,False,0.0,0.21,0.0,0.34,0.45
1607,3,4,0.68,0.14,False,0.0,0.18,0.0,0.14,0.68
1610,3,2,0.47,0.36,False,0.04,0.07,0.47,0.36,0.06
1623,3,2,0.37,0.22,False,0.0,0.27,0.37,0.22,0.14
1633,3,2,0.54,0.2,False,0.14,0.11,0.54,0.2,0.01
1634,3,2,0.42,0.32,False,0.07,0.17,0.42,0.32,0.02
1715,3,1,0.45,0.4,False,0.08,0.45,0.07,0.4,0.0
1743,3,1,0.43,0.42,False,0.05,0.43,0.04,0.42,0.06
1800,4,1,0.4,0.33,False,0.0,0.4,0.04,0.23,0.33
1870,4,1,0.48,0.44,False,0.01,0.48,0.06,0.01,0.44
1939,4,1,0.52,0.39,False,0.02,0.52,0.06,0.01,0.39
1982,4,1,0.34,0.28,False,0.01,0.34,0.14,0.23,0.28
1998,4,3,0.83,0.09,False,0.0,0.08,0.0,0.83,0.09
2107,4,1,0.55,0.32,False,0.0,0.55,0.07,0.06,0.32
2109,4,1,0.45,0.44,False,0.0,0.45,0.06,0.05,0.44
2154,4,3,0.63,0.11,False,0.0,0.1,0.16,0.63,0.11
2158,4,3,0.38,0.3,False,0.03,0.12,0.17,0.38,0.3
2173,4,3,0.49,0.21,False,0.03,0.06,0.21,0.49,0.21
2178,4,3,0.31,0.29,False,0.01,0.11,0.28,0.31,0.29
2179,4,3,0.35,0.28,False,0.01,0.1,0.26,0.35,0.28
2188,4,3,0.47,0.35,False,0.01,0.03,0.14,0.47,0.35
2213,4,1,0.55,0.36,False,0.0,0.55,0.05,0.04,0.36
2217,4,1,0.48,0.32,False,0.02,0.48,0.12,0.06,0.32
2246,4,1,0.39,0.37,False,0.0,0.39,0.14,0.1,0.37
